id,code,type,name,amount,account_number
4616,8006,federal_account,"Federal Old-Age and Survivors Insurance Trust Fund - Treasury Managed, Social Security Administration",1084655102755.24,028-8006
4324,0550,federal_account,"Interest on the Public Debt (Indefinite), Bureau of the Fiscal Service, Treasury",717611112578.87,020-0550
5450,0512,federal_account,"Grants to States for Medicaid, Centers for Medicare and Medicaid Services, Health and Human Services",660336832149.36,075-0512
5887,0243,federal_account,"Federal Direct Student Loan Program, Education",474121656324.53,091-0243
5598,8004,federal_account,"Federal Supplementary Medical Insurance Trust Fund-Treasury Managed, Health and Human Services",473136006055.46,075-8004
5459,0580,federal_account,"Payments to Health Care Trust Funds, Centers for Medicare and Medicaid Services, Health and Human Services",462096978081.38,075-0580
5599,8005,federal_account,"Federal Hospital Insurance Trust Fund - Treasury Managed, Health and Human Services",397704781336.54,075-8005
4329,0903,federal_account,"Refunding Internal Revenue Collections (Indefinite), Treasury",305515380687.73,020-0903
4617,8007,federal_account,"Federal Disability Insurance Trust Fund - Treasury Managed, Social Security Administration",149087159438.99,028-8007
6018,4930,federal_account,"Department of Defense Working Capital Fund, Defense",146402716575.6,097-4930
3551,3505,federal_account,"Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture",144539433814.72,012-3505
4336,0922,federal_account,"Payment Where Child Tax Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury",131434758952.21,020-0922
4649,0102,federal_account,"Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",130935953789.33,036-0102
4953,0534,federal_account,"Payment to the Highway Trust Fund, Federal Highway Administration, Transportation",118000000000.0,069-0534
5610,8308,federal_account,"Medicare Prescription Drug Account, Centers for Medicare and Medicaid Services, Health and Human Services",115014958995.06,075-8308
5963,0040,federal_account,"Payments to Military Retirement Fund, Defense",114463000000.0,097-0040
4580,8135,federal_account,"Civil Service Retirement and Disability Fund, Office of Personnel Management",97213536474.0,024-8135
4352,0949,federal_account,"Refundable Premium Assistance Tax Credit, Internal Revenue Service, Treasury",85485904975.98,020-0949
5413,0140,federal_account,"Public Health and Social Services Emergency Fund, Office of the Secretary, Health and Human Services",80901055627.78,075-0140
4501,2020,federal_account,"Operation and Maintenance, Army",72608285716.72,021-2020
4175,1804,federal_account,"Operation and Maintenance, Navy",72478483936.28,017-1804
4605,0406,federal_account,"Supplemental Security Income Program, Social Security Administration",68682435258.49,028-0406
6052,8097,federal_account,Department of Defense Military Retirement Fund,66724042454.96,097-8097
4331,0906,federal_account,"Payment Where Earned Income Credit Exceeds Liability for Tax, Internal Revenue Service, Treasury",64281510215.29,020-0906
4663,0160,federal_account,"Medical Services, Veterans Health Administration, Veterans Affairs",62816392407.97,036-0160
4582,8440,federal_account,"Employees' Health Benefits Fund, Office of Personnel Management",62393913340.31,024-8440
5122,8083,federal_account,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",56164136244.14,069-8083
4508,2040,federal_account,"Research, Development, Test, and Evaluation, Army",52527159204.06,021-2040
5965,0100,federal_account,"Operation and Maintenance, Defense-Wide, Defense",51023501933.55,097-0100
4500,2010,federal_account,"Military Personnel, Army",50341083636.16,021-2010
4604,0404,federal_account,"Payments to Social Security Trust Funds, Social Security Administration",48513890176.48,028-0404
4569,0200,federal_account,"Payment to Civil Service Retirement and Disability Fund, Office of Personnel Management",46379811549.0,024-0200
4141,8042,federal_account,"Unemployment Trust Fund - Treasury Managed, Labor",43753727718.21,016-8042
4810,3600,federal_account,"Research, Development, Test, and Evaluation, Air Force",43589806045.32,057-3600
5237,0702,federal_account,"Disaster Relief Fund, Federal Emergency Management Agency, Homeland Security",43483905987.42,070-0702
4807,3400,federal_account,"Operation and Maintenance, Air Force",41877775729.35,057-3400
5974,0130,federal_account,"Defense Health Program, Defense",41785378842.92,097-0130
3556,3539,federal_account,"Child Nutrition Programs, Food and Nutrition Service",39094561488.89,012-3539
4809,3500,federal_account,"Military Personnel, Air Force",35776907754.35,057-3500
4169,1453,federal_account,"Military Personnel, Navy",35602564943.4,017-1453
5883,0231,federal_account,"Federal Family Education Loan Program Account, Education",34896378639.0,091-0231
5460,0585,federal_account,"Taxation on OASDI Benefits, HI, Centers for Medicare and Medicaid Services, Health and Human Services",32775000000.0,075-0585
3573,4336,federal_account,"Commodity Credit Corporation Fund, Agriculture",30840278036.99,012-4336
5873,0200,federal_account,"Student Financial Assistance, Education",29743167482.01,091-0200
4346,0936,federal_account,"U.S. Coronavirus Refundable Credits, Internal Revenue Service, Treasury",29470300515.06,020-0936
5988,0400,federal_account,"Research, Development, Test, and Evaluation, Defense-Wide",29433031003.53,097-0400
5072,2812,federal_account,"Transit Infrastructure Grants, Federal Transit Administration, Transportation",27491491282.25,069-2812
5695,0302,federal_account,"Tenant-Based Rental Assistance, Public and Indian Housing, Housing and Urban Development",27317632453.0,086-0302
4804,3080,federal_account,"Other Procurement, Air Force",26902417503.04,057-3080
4657,0140,federal_account,"Medical Community Care, Veterans Health Administration, Veterans Affairs",25621640176.04,036-0140
4730,4534,federal_account,"Acquisition Services Fund, General Services Administration",23679658604.0,047-4534
4166,1319,federal_account,"Research, Development, Test, and Evaluation, Navy",22111614573.42,017-1319
4173,1611,federal_account,"Shipbuilding and Conversion, Navy",21325061689.61,017-1611
5452,0515,federal_account,"State Children's Health Insurance Fund, Centers for Medicare and Medicaid Services, Health and Human Services",19352514544.12,075-0515
3564,4085,federal_account,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",18646724232.99,012-4085
5787,0240,federal_account,"Weapons Activities, National Nuclear Security Administration, Energy",18468606438.04,089-0240
5901,0900,federal_account,"Education for the Disadvantaged, Education",18233068131.02,091-0900
5198,0530,federal_account,"Operations and Support, U.S. Customs and Border Protection, Homeland Security",17961360834.59,070-0530
6337,0251,federal_account,"Education Stabilization Fund, Department of Education",17420217361.91,091-0251
5379,1152,federal_account,"Disaster Loans Program Account, Small Business Administration",16807250297.17,073-1152
4799,3010,federal_account,"Aircraft Procurement, Air Force",16729470538.15,057-3010
5556,1552,federal_account,"Temporary Assistance for Needy Families, Administration for Children and Families, Health and Human Services",16723200004.31,075-1552
4170,1506,federal_account,"Aircraft Procurement, Navy",16491930232.15,017-1506
5349,1037,federal_account,"Economic Support Fund, Funds Appropriated to the President",15285200220.62,072-1037
4127,4204,federal_account,"Pension Benefit Guaranty Corporation Fund, Pension Benefit Guaranty Corporation, Labor",14739682100.21,016-4204
4155,1105,federal_account,"Military Personnel, Marine Corps",14710164234.0,017-1105
5891,0300,federal_account,"Special Education, Education",14552788306.58,091-0300
5696,0303,federal_account,"Project-Based Rental Assistance, Housing Programs, Housing and Urban Development",14067669706.03,086-0303
4570,0206,federal_account,"Government Payment for Annuitants, Employees' Health Benefits, Office of Personnel Management",13835347264.53,024-0206
4618,8704,federal_account,"Salaries and Expenses, Social Security Administration",13774894997.63,028-8704
5551,1536,federal_account,"Children and Families Services Programs, Administration for Children and Families, Health and Human Services",13716104820.03,075-1536
6326,0905,federal_account,"U.S. Coronavirus Payments, Internal Revenue Service, Treasury",13635516659.86,020-0905
4389,1880,federal_account,"Credit Reform:  Interest Paid on Uninvested Funds (Indefinite),  Bureau of the Fiscal Service, Treasury",12732578468.04,020-1880
6363,3620,federal_account,"Research, Development, Test, and Evaluation, Space Force, Air Force",12553272508.63,057-3620
4595,5183,federal_account,"Universal Service Fund, Federal Communications Commission",11974633243.34,027-5183
4007,0200,federal_account,"Salaries and Expenses, Federal Bureau of Investigation, Justice",11823966880.4,015-0200
5140,8350,federal_account,"Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",11744244281.4,069-8350
4512,2060,federal_account,"National Guard Personnel, Army",11736412811.64,021-2060
4656,0137,federal_account,"Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",11678648953.58,036-0137
5046,1301,federal_account,"Operations, Federal Aviation Administration, Transportation",11598316648.57,069-1301
4214,0113,federal_account,"Diplomatic and Consular Programs, State",11557467120.83,019-0113
4179,1810,federal_account,"Other Procurement, Navy",11469724030.92,017-1810
4732,4542,federal_account,"Federal Buildings Fund, General Services Administration",11230340392.77,047-4542
6029,5472,federal_account,"Department of Defense, Medicare-Eligible Retiree Health Care Fund",11222327924.3,097-5472
4240,1031,federal_account,"Global Health Programs, State",11010567469.96,019-1031
5543,1503,federal_account,"Refugee and Entrant Assistance, Administration for Children and Families, Health and Human Services",10673831230.33,075-1503
5964,0041,federal_account,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",10569342000.0,097-0041
5944,4902,federal_account,"Revolving Fund, Corps of Engineers, Civil",10429857318.61,096-4902
6382,1896,federal_account,"Coronavirus Capital Projects Fund, Departmental Offices, Treasury",9872720729.14,020-1896
5380,1154,federal_account,"Business Loans Program Account, Small Business Administration",9707333970.2,073-1154
4507,2035,federal_account,"Other Procurement, Army",9695632502.16,021-2035
4156,1106,federal_account,"Operation and Maintenance, Marine Corps",9693007175.18,017-1106
6392,0173,federal_account,"Veterans Medical Care and Health Fund, Veterans Health Administration, Veterans Affairs",9680478567.98,036-0173
5553,1545,federal_account,"Payments for Foster Care and Permanency, Administration for Children and Families, Health and Human Services",9532808356.47,075-1545
5778,0222,federal_account,"Science, Energy Programs, Energy",9516128188.82,089-0222
5226,0610,federal_account,"Operations and Support, Coast Guard, Homeland Security",9497576927.02,070-0610
5348,1035,federal_account,"International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development",9096917448.5,072-1035
4513,2065,federal_account,"Operation and Maintenance, Army National Guard",9002588930.85,021-2065
5205,0540,federal_account,"Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security",8996608221.74,070-0540
5212,0550,federal_account,"Operations and Support, Transportation Security Administration, Homeland Security",8667908732.86,070-0550
5983,0300,federal_account,"Procurement, Defense-Wide",8472821173.14,097-0300
4661,0152,federal_account,"Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",8461558563.11,036-0152
5583,5733,federal_account,"Risk Adjustment Program Payments, Centers for Medicare and Medicaid Services, Health and Human Services",8378078685.46,075-5733
6359,0161,federal_account,"Emergency Capital Investment Fund, Departmental Offices, Treasury",8298060810.77,020-0161
6364,0481,federal_account,"Public Housing Fund, Public and Indian Housing, Housing and Urban Development",8179208059.38,086-0481
4040,1060,federal_account,"Salaries and Expenses, Federal Prison System",8036739222.56,015-1060
4852,8010,federal_account,"Social Security Equivalent Benefit Account, Railroad Retirement Board",7933029617.62,060-8010
5630,0120,federal_account,"Science, National Aeronautics and Space Administration",7810819700.82,080-0120
5443,0390,federal_account,"Indian Health Services, Indian Health Service, Health and Human Services",7701081469.53,075-0390
4818,3840,federal_account,"Operation and Maintenance, Air National Guard",7683082542.13,057-3840
6011,0850,federal_account,Payment to Department of Defense Medicare-Eligible Retiree Health Care Fund,7503000000.0,097-0850
6409,0943,federal_account,"Child and Dependent Care Tax Credit, Internal Revenue Service, Department of the Treasury",7429978129.35,020-0943
4749,0100,federal_account,"Research and Related Activities, National Science Foundation",7400190439.19,049-0100
6378,0150,federal_account,Defense Production Act Medical Supplies Enhancement,7393844344.21,075-0150
4869,0103,federal_account,"State and Tribal Assistance Grants, Environmental Protection Agency",7371153983.47,068-0103
4665,0162,federal_account,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",7209790571.72,036-0162
3555,3510,federal_account,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",7209012481.53,012-3510
5449,0511,federal_account,"Program Management, Centers for Medicare and Medicaid Services, Health and Human Services",7119406673.25,075-0511
5478,0849,federal_account,"National Cancer Institute, National Institutes of Health, Health and Human Services",7036120041.31,075-0849
5793,0251,federal_account,"Defense Environmental Cleanup, Environmental and Other Defense Activities, Energy",6954194221.99,089-0251
5634,0124,federal_account,"Exploration, National Aeronautics and Space Administration",6883145068.47,080-0124
5491,0885,federal_account,"National Institute of Allergy and Infectious Diseases, National Institutes of Health, Health and Human Services",6746802961.02,075-0885
5903,1000,federal_account,"School Improvement Programs,  Education",6618943970.34,091-1000
5461,0600,federal_account,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",6579137324.38,075-0600
4958,0548,federal_account,"Highway Infrastructure Programs, Federal Highway Administration, Transportation",6535064744.32,069-0548
4510,2050,federal_account,"Military Construction, Army",6533889841.19,021-2050
